Country,Mining,EcOrg,YrsOpen,EngFrac,OthFrac,RERD,EQINV,NONEQINV,BMS6087,GDC6089,PI6089,SCOUT,STDC6089,STPI6089,bmp1,area,freeop,freetar,laam,safrica,pyr60,syr60,hyr60,human60,p60,s60,h60,lifee060,ggcfd3,geerec1,gde1,assassp2,revcoup,pinstab2,wardum,prightsb,civlibb,tot1,ABSLATIT,BRIT,BUDDHA,CATH,CONFUC,DEMOC65,FRAC,FRENCH,HINDU,JEW,MUSLIM,PRIEXP70,PROT,RULELAW,SPAIN,URB60,gr56092,dpop6090,gdpsh60l,humanyl,lly1,work60l,lforce60,gvxdxe52
Algeria,0.195999994874001,0,0,0,0.836000025272369,190,0.0507000014185905,0.190699994564056,186.555465698242,21.0690002441406,8.0649995803833,1,13.3030004501343,10.1800003051758,0.130999997258186,2382,0.218471005558968,0.0270869992673397,0,0,0.736000001430511,0.101999998092651,0.0130000002682209,0.850000023841858,0.46000000834465,0.0799999982118607,0.00300000002607703,47.2999992370605,0.230100005865097,0.0296999998390675,0.0299999993294477,0,0.123000003397465,0.166500002145767,0,5.83333301544189,5.88888883590698,-0.012636000290513,36.7200012207031,0,0,0,0,0.272000014781952,0.430000007152557,1,0,0.00499999988824129,0.990000009536743,0.933000028133392,0.00499999988824129,0.333333343267441,0,0.303999990224838,0.0136901717633009,0.0284170787781477,7.43897151947021,6.3231258392334,,-1.33029210567474,2855.52001953125,0.0590999983251095
Benin,0.00899999961256981,0,0.111000001430511,0,0,126,0.00579999992623925,0.102399997413158,4.48958301544189,,6.34819984436035,0,,4.86460018157959,0.0500000007450581,113,0.220811992883682,0.051731999963522,0,1,,0.068000003695488,0.0109999999403954,,0.270000010728836,0.0199999995529652,0,38.9000015258789,0.0226000007241964,0.0248000007122755,0.0179999992251396,,0.100000001490116,,0,7,6.38888883590698,0.0193119999021292,6.36399984359741,0,0,0.0700000002980232,0,0.247000008821487,0.620000004768372,1,0,0,0.150000005960464,0.896000027656555,0.0799999982118607,,0,0.0949999988079071,-0.00658589648082852,0.0239653140306473,7.01929664611816,,,-0.488411992788315,1372.62329101562,0.204319998621941
Botswana,0.532999992370605,5,0.356000006198883,0,0,131,0.130899995565414,0.152999997138977,23.3884754180908,,7.86199998855591,0,,8.21000003814697,0.0719999969005585,582,,,0,1,1.17400002479553,0.0900000035762787,0.00700000021606684,1.27100002765656,0.419999986886978,0.00999999977648258,0,45.7000007629395,0.0775000005960464,0.0299999993294477,,0,0,0,0,2.05555605888367,3,,21.5359992980957,1,0,0.25,0,,0.509999990463257,0,0,0,0,0.75,0.25,0.833333313465118,0,0.0179999992251396,0.0561946555972099,0.0331499576568604,6.28413438796997,7.98713493347168,,-0.824395477771759,210.918487548828,
"Burkina Faso",0.00100000004749745,1,0,0,0,130,,,4.48958301544189,,4.93480014801025,0,,5.60249996185303,0.0500000007450581,274,,,0,1,,,,,0.0799999982118607,0.00999999977648258,,36.2999992370605,0.0984999984502792,0.0182000007480383,0.017000000923872,0,0.412999987602234,0.100000001490116,0,5.5,4.88888883590698,0.0725810006260872,12.048999786377,0,0,0.100000001490116,0,0.0719999969005585,0.680000007152557,1,0,0,0.25,0.955999970436096,0,0.5,0,0.0469999983906746,0.00420588720589876,0.0231597498059273,6.15273284912109,,,,,0.0492799989879131
Burundi,0.00999999977648258,4,0,0,0,167,0.00760000012814999,0.0436000004410744,20.7912979125977,24.1340007781982,5.79500007629395,0,40.7000007629395,9.46000003814697,0.00400000018998981,28,0.249605998396873,0.0498390011489391,0,1,,,,,0.180000007152557,0.00999999977648258,0,41.7999992370605,0.0274000000208616,0.0183000005781651,0.0140000004321337,0,0.39300000667572,0.166500002145767,1,6.83333301544189,6.16666698455811,,3.36500000953674,0,0,0.620000004768372,0,0.579999983310699,0.0399999991059303,0,0,0,0.00999999977648258,0.976999998092651,0.0500000007450581,,0,0.0219999998807907,-0.00261120847426355,0.0202794875949621,6.37842607498169,,,-0.50666755437851,1776.17004394531,0.0501799993216991
Cameroon,0.0879999995231628,5,0.156000003218651,0,0.00700000021606684,187,0.00400000018998981,0.125,4.47261476516724,17.4370002746582,7.11800003051758,1,13.5799999237061,5.84000015258789,0.0500000007450581,475,0.197079002857208,0.0457039996981621,0,1,,0.303999990224838,0.00899999961256981,,0.649999976158142,0.0199999995529652,0.0020000000949949,43.4000015258789,0.0388999991118908,0.0220999997109175,0.0240000002086163,0,0.0799999982118607,0,0,6.05555486679077,5.55555486679077,-0.041143998503685,10.7299995422363,0,0,0.159999996423721,0,0.560000002384186,0.889999985694885,1,0,0,0.159999996423721,0.915000021457672,0.170000001788139,0.5,0,0.138999998569489,0.0122393500059843,0.0263432525098324,6.54678535461426,,0.134823992848396,-0.71662050485611,2587.05493164062,0.124360002577305
"Central African Republic",0.0299999993294477,3,0,0,0,156,,,4.47667598724365,11.1230001449585,7.64099979400635,0,14.8070001602173,7,0.0500000007450581,623,0.193492993712425,0.0352779999375343,0,1,,0.10700000077486,0.0109999999403954,,0.319999992847443,0.00999999977648258,0,39.2999992370605,0.0562000013887882,0.0230999998748302,0.00899999961256981,0,0.386999994516373,0.200000002980232,0,6.83333301544189,6.22222185134888,-0.0169479995965958,4.33099985122681,0,0,0.25,0,0.342000007629395,0.829999983310699,1,0,0,0.150000005960464,0.556999981403351,0.25,,0,0.226999998092651,-0.00821376033127308,0.022555073723197,6.48920488357544,,,-0.504677951335907,926.075744628906,0.27046000957489
Chad,0.0020000000949949,5,0,0,0.300000011920929,142,,,4.47667598724365,12.6770000457764,5.68300008773804,0,19.1049995422363,9.14000034332275,0.0500000007450581,1284,,,0,1,,,,,0.170000001788139,,0,34.9000015258789,,0.011400000192225,0.00700000021606684,0,0.666999995708466,0.100000001490116,1,6.55555486679077,6.5,-0.00831000041216612,10.3769998550415,0,0,0.159999996423721,0,0.475999981164932,0.689999997615814,1,0,0,0.439999997615814,0.952000021934509,0.170000001788139,,0,0.0700000002980232,-0.0181370284408331,0.0202462822198868,6.49828195571899,,0.120973996818066,-0.934709370136261,1203.23278808594,0.253479987382889
Congo,0.167999997735023,1,0,0,0,191,0.0498000010848045,0.238399997353554,4.47667598724365,14.5249996185303,5.99700021743774,1,21.375,9.60000038146973,0.0500000007450581,342,0.196320995688438,0.0354660004377365,0,1,,0.621999979019165,0.111000001430511,,0.779999971389771,0.0399999991059303,0.00499999988824129,47.2999992370605,0.0353999994695187,0.0310999993234873,0.025000000372529,0.187999993562698,0.360000014305115,0.393999993801117,0,6.55555486679077,6.16666698455811,-0.00293299998156726,3.68400001525879,0,0,0.25,0,0.458000004291534,0.660000026226044,1,0,0,0.0199999995529652,0.709999978542328,0.25,0.333333343267441,0,0.294999986886978,0.0223216041922569,0.0274730920791626,6.96885061264038,,0.210279002785683,-0.774140298366547,455.566802978516,0.243760004639626
Egypt,0.034000001847744,1,0,0,0.970000028610229,168,,,41.3820991516113,19.132999420166,8.27200031280518,1,12.7510004043579,7.01000022888184,0.745000004768372,1001,0.184066995978355,0.0182119999080896,0,0,,,0.028999999165535,,0.660000026226044,0.159999996423721,0.0489999987185001,46.4000015258789,0.0127999996766448,0.0450000017881393,0.061999998986721,0.00681000016629696,0.159999996423721,0.103404998779297,1,5.11111116409302,4.55555486679077,-0.00493900012224913,29.996000289917,1,0,0,0,0.386999994516373,0.0399999991059303,0,0,0,0.939999997615814,0.728999972343445,0,0.16666667163372,0,0.379000008106232,0.0267169494181871,0.0237922351807356,6.64509105682373,,0.372896999120712,-1.23580753803253,7532.93310546875,0.152079999446869
Ethiopia,0.00100000004749745,0,0,0,0.0020000000949949,98,0.00600000005215406,0.0487999990582466,70.0233001708984,15.66100025177,2.65700006484985,0,9.27000045776367,3.47000002861023,0.156000003218651,1222,0.148239001631737,0.0270269997417927,0,1,,,,,0.0700000002980232,,0.00100000004749745,42.2000007629395,0.010499999858439,0.0094999996945262,0.0219999998807907,0,0.720000028610229,0,1,6.66666698455811,6.61111116409302,0.00358000001870096,9.00699996948242,0,0,0,0,0.125,0.689999997615814,0,0,0,0.419999986886978,0.982999980449677,0,0.5,0,0.0640000030398369,-0.000552928075194359,0.0227715168148279,5.51745271682739,,0.110945001244545,-0.670016825199127,12378.5341796875,0.114059999585152
Gabon,0.215000003576279,5,0,0,0.0599999986588955,169,,,1.48313701152802,20.9139995574951,9.00300025939941,0,28.4130001068115,14.6000003814697,,268,,,0,1,,,,,1,0.0500000007450581,0,40.9000015258789,0.133000001311302,0.0223999992012978,0.00999999977648258,0,0.119999997317791,0,0,6,6,0.00968199968338013,0.372000008821487,0,0,0.319999992847443,0,0.446999996900558,0.689999997615814,1,0,0,0,0.910000026226044,0.330000013113022,0.333333343267441,0,0.17399999499321,0.0224910397082567,0.0302330292761326,7.48773384094238,,0.173032000660896,-0.0469867773354053,463.692596435547,0.0426600016653538
Gambia,0,5,0.222000002861023,0,0,150,,,,20.69700050354,8.14500045776367,0,36.7099990844727,9.72000026702881,,11,,,0,1,,0.209000006318092,0.0130000002682209,,0.119999997317791,0.0299999993294477,0,32.2999992370605,0.0118000004440546,0.0210999995470047,,0,0.0500000007450581,0,0,2.44444394111633,2.72222208976746,0.00374500011093915,13.2569999694824,1,0,0.0399999991059303,0,,0.730000019073486,0,0,0,0.899999976158142,1,0.0500000007450581,0.666666686534882,0,0.123999997973442,0.00954815465956926,0.0300035942345858,6.2005090713501,,,-0.635633230209351,186.419204711914,
Ghana,0.0160000007599592,3,0.222000002861023,0,0,248,0.00443000020459294,0.086669996380806,588.626708984375,23.7040004730225,28.8169994354248,0,63.798999786377,27.5799999237061,0.349999994039536,239,0.203700006008148,0.0580909997224808,0,1,0.555000007152557,0.109999999403954,0.025000000372529,0.689999997615814,0.379999995231628,0.0500000007450581,0.0020000000949949,45.2000007629395,0.0240000002086163,0.0260000005364418,0.0179999992251396,0,0.546999990940094,0.200000002980232,0,5.88888883590698,5,-0.0777110010385513,6.69399976730347,1,0,0.119999997317791,0,0.237000003457069,0.709999978542328,0,0,0,0.300000011920929,0.994000017642975,0.119999997317791,0.16666667163372,0,0.232999995350838,-0.00159234099555761,0.0272760167717934,6.77193546295166,4.67263555526733,0.198906004428864,-0.834250032901764,2941.27075195312,0.0786800011992455
"Guinea Bissau",0,1,0.178000003099442,0,0,190,,,,,27.9039993286133,0,,31.1299991607666,,,,,0,1,,0.0199999995529652,0.00800000037997961,,0.25,0.0299999993294477,0,34.7999992370605,,,,,0.310999989509583,,0,6.11111116409302,6.16666698455811,,12.2620000839233,0,0,0.0199999995529652,0,,,0,0,0,0.300000011920929,0.987999975681305,0.0299999993294477,0.16666667163372,0,,0.0085692722350359,0.0190087668597698,6.17794418334961,,,,,
Kenya,0.0020000000949949,5,0.0439999997615814,0,0,131,0.0280000008642673,0.146500006318092,12.4475927352905,20.1800003051758,6.92000007629395,1,10.5249996185303,6.53999996185303,0.0140000004321337,580,0.166824996471405,0.0405290015041828,0,1,1.04100000858307,0.108999997377396,0.0109999999403954,1.16100001335144,0.469999998807907,0.0199999995529652,0.00100000004749745,45,0.0432999990880489,0.0361000001430511,0.00300000002607703,0.0299999993294477,0.0500000007450581,0.0149999996647239,0,5.33333301544189,4.83333301544189,-0.0155100002884865,0.513000011444092,1,0,0.280000001192093,0,0.582000017166138,0.829999983310699,0,0,0,0.0599999986588955,0.874000012874603,0.379999995231628,0.333333343267441,0,0.0740000009536743,0.00962982606142759,0.0356536507606506,6.4645881652832,7.50538682937622,,-0.808333575725555,3712.7392578125,0.126739993691444
Lesotho,0.00300000002607703,5,0.367000013589859,0,0,126,,,7.63380002975464,,8.83699989318848,0,,8.75399971008301,0.0719999969005585,30,,,0,1,2.42199993133545,0.0540000014007092,0.00300000002607703,2.47900009155273,0.829999983310699,0.0299999993294477,0.0020000000949949,47.7000007629395,0.0329000018537045,0.0458999983966351,,0,0.0500000007450581,0,0,5.22222185134888,4.72222185134888,,29.5949993133545,1,0,0.400000005960464,0,,0.219999998807907,0,0,0,0,0.933000028133392,0.400000005960464,,0,0.0149999996647239,0.0373061001300812,0.023610157892108,5.66296052932739,14.0384798049927,,-0.610277652740479,472.584014892578,
Madagascar,0.0780000016093254,1,0,0,0,120,0.00999999977648258,0.061099998652935,4.79896974563599,18.3579998016357,10.3210000991821,0,13.1949996948242,8.26000022888184,0.0500000007450581,587,0.152368992567062,0.0346090011298656,0,1,,,,,0.519999980926514,0.0399999991059303,0.0020000000949949,41,0.0303000006824732,0.0206000003963709,0.0130000002682209,,0.100000001490116,,0,5.22222185134888,5.05555486679077,-0.0375249981880188,18.9580001831055,0,0,0.200000002980232,0,0.829999983310699,0.0599999986588955,1,0,0,0.0700000002980232,0.927999973297119,0.209999993443489,0.666666686534882,0,0.105999998748302,-0.0207691453397274,0.0269856005907059,7.05875825881958,,,-0.670603275299072,2715.0224609375,0.0571799986064434
Malawi,0.0890000015497208,5,0,0,0,116,0.0179999992251396,0.11429999768734,32.6425933837891,22.9769992828369,8.06799983978271,1,25.7479991912842,6.72599983215332,0.0860000029206276,118,0.192519992589951,0.0219899993389845,0,1,1.60199999809265,0.0130000002682209,0,1.61500000953674,0.670000016689301,0.00999999977648258,0,37.9000015258789,0.0362999998033047,0.0118000004440546,0.00499999988824129,0,0,0,0,6.38888883590698,6.55555486679077,-0.0374279990792274,15.8109998703003,1,0,0.200000002980232,0,0.578999996185303,0.620000004768372,0,0,0,0.200000002980232,0.962999999523163,0.550000011920929,0.16666667163372,0,0.0439999997615814,0.00681918254122138,0.0301286522299051,5.90536165237427,9.53715896606445,,-0.697958767414093,1756.03039550781,0.154899999499321
Mali,0.0120000001043081,1,0.156000003218651,0,0.0120000001043081,127,0.0432999990880489,0.029899999499321,,13.0520000457764,7.14699983596802,0,15.6870002746582,5.87400007247925,,1240,,,0,1,,0.0109999999403954,0.0109999999403954,,0.100000001490116,0.00999999977648258,0,35.9000015258789,0.00680000009015203,,0.0280000008642673,0,0.239999994635582,0.100000001490116,0,6.88888883590698,6.22222185134888,0.0176389999687672,12.5080003738403,0,0,0,0,0.372000008821487,0.779999971389771,1,0,0,0.899999976158142,0.893999993801117,0.00999999977648258,0.333333343267441,0,0.109999999403954,0.000362251390470192,0.0245156083256006,6.2045578956604,,,-0.929882645606995,1726.375,0.106980003416538
Mauritania,0.0689999982714653,3,0,0,0.86599999666214,198,,,43.3648376464844,134.729995727539,6.9229998588562,1,589.801025390625,5.11100006103516,0.0500000007450581,1026,,,0,1,,,,,0.0799999982118607,,0,35.2999992370605,0.0320999994874001,0.0175999999046326,0.0260000005364418,0,0.200000002980232,0,1,6.33333301544189,6,-0.00430099992081523,17.9249992370605,0,0,0,0,0.590999960899353,0.330000013113022,1,0,0,1,0.991999983787537,0,,0,0.034000001847744,-0.002001115353778,0.0235858354717493,6.74875974655151,,,-0.996416807174683,365.877197265625,0.18129999935627
Mauritius,0.00100000004749745,5,1,0.00300000002607703,0.564000010490417,126,0.00989999994635582,0.162000000476837,,20.5060005187988,9.09500026702881,0,21.3339996337891,11.7170000076294,,2,0.296979010105133,0.0884639993309975,0,1,2.12100005149841,0.279000014066696,0.0370000004768372,2.43700003623962,0.980000019073486,0.239999994635582,0.0020000000949949,59.4000015258789,0.0254999995231628,0.0240000002086163,0.0020000000949949,0,0,0,0,2.16666698455811,2.38888907432556,-0.0344570018351078,20.2320003509521,1,0,0.259999990463257,0,,0.579999983310699,0,0.519999980926514,0,0.170000001788139,0.98199999332428,0.0199999995529652,,0,0.331999987363815,0.0240487195551395,0.0163237396627665,7.94378280639648,19.3589992523193,0.298629999160767,-1.21402311325073,196.019989013672,0.0911799967288971
Morocco,0.028999999165535,3,0.444000005722046,0,0.740000009536743,123,0.0149999996647239,0.068400003015995,9.052414894104,15.1479997634888,5.82200002670288,0,7.63600015640259,5.22200012207031,0.179000005125999,447,0.246883004903793,0.0649629980325699,0,0,,,,,0.469999998807907,0.0500000007450581,0.00499999988824129,46.9000015258789,0.0215000007301569,0.0305000003427267,0.0270000007003546,0,0.0799999982118607,0,1,4.16666698455811,4.61111116409302,-0.00295399990864098,33.5929985046387,0,0,0,0,0.321999996900558,0.529999971389771,1,0,0,0.990000009536743,0.902999997138977,0.00999999977648258,0.16666667163372,0,0.293000012636185,0.028470603749156,0.0255589187145233,6.67329788208008,,0.309260010719299,-1.26975655555725,3265.74340820312,0.0431200005114079
Mozambique,0.0780000016093254,1,0,0,0.0120000001043081,127,0.000199999994947575,0.0615000016987324,304.422912597656,,,0,,,0.0020000000949949,802,0.132831007242203,0.0133830001577735,0,1,0.391999989748001,0.00800000037997961,0.0020000000949949,0.40200001001358,0.479999989271164,0.0199999995529652,0,35.2000007629395,,,,,1,,1,6.5,6.72222185134888,-0.00952600035816431,18.4990005493164,0,0,0.150000005960464,0,0.118000000715256,0.649999976158142,0,0,0,0.100000001490116,,0.150000005960464,0.5,0,0.0370000004768372,-0.0157504193484783,0.0244638416916132,7.02820158004761,2.82533717155457,,-0.644928634166718,3914.78662109375,
Niger,0.0759999975562096,5,0,0,0.0350000001490116,204,,,4.48958301544189,18.8980007171631,5.32299995422363,1,37.8639984130859,8.77799987792969,0.0500000007450581,1267,,,0,1,0.75900000333786,0.0810000002384186,0.00700000021606684,0.846000015735626,0.0500000007450581,0.00499999988824129,0,35.4000015258789,0.0294000003486872,0.00490000005811453,0.00999999977648258,0,0.159999996423721,0,0,6.88888883590698,6,0.0280510000884533,13.8760004043579,0,0,0.0500000007450581,0,0.159999996423721,0.730000019073486,1,0,0,0.800000011920929,0.962999999523163,0.0500000007450581,0.666666686534882,0,0.0579999983310699,-0.00373904570005834,0.0316132083535194,6.22059011459351,5.26261949539185,,-0.525939226150513,1789.54809570312,0.158720001578331
Nigeria,0.208000004291534,4,0,0,0.0020000000949949,277,0.0199999995529652,0.100000001490116,45.1837196350098,1.10099995136261,12.9799995422363,1,152.555999755859,15.1350002288818,0.0860000029206276,924,0.175872996449471,0.0649840012192726,0,1,,,,,0.360000014305115,0.0399999991059303,0.00100000004749745,39.7000007629395,0.0198999997228384,0.0136000001803041,0.00600000005215406,0.0033400000538677,0.519999980926514,0.501670002937317,1,4.88888883590698,4.05555486679077,-0.00851199962198734,6.54300022125244,1,0,0.200000002980232,0,0.495000004768372,0.870000004768372,0,0,0,0.5,0.987999975681305,0.200000002980232,0.16666667163372,0,0.130999997258186,0.0112343085929751,0.0312271062284708,6.32256507873535,,0.127409994602203,-1.04213750362396,14920.9736328125,0.107239998877048
Rwanda,0.0020000000949949,1,0,0,0,165,0.012699999846518,0.0671999976038933,32.2543678283691,21.5389995574951,10.0749998092651,0,24.6889991760254,16.6580009460449,0.00400000018998981,26,0.242796003818512,0.0587959997355938,0,1,,0.126000002026558,0.0179999992251396,,0.490000009536743,0.0199999995529652,0,46.5,0.00370000000111759,0.0255999993532896,0.0260000005364418,0,0.140000000596046,0,0,6.33333301544189,5.66666698455811,0.0356049984693527,2.03200006484985,0,0,0.649999976158142,0,0.29899999499321,0.140000000596046,0,0,0,0.00999999977648258,0.991999983787537,0.0900000035762787,,0,0.0240000002086163,0.00635132193565369,0.0322342589497566,6.24222326278687,,,-0.58214259147644,1531.95544433594,0.138659998774529
Senegal,0.00499999988824129,4,0,0,0.00100000004749745,146,0.011400000192225,0.0847000032663345,4.48958301544189,13.0939998626709,5.70900011062622,0,13.9700002670288,4.49599981307983,0.0500000007450581,197,0.23615700006485,0.0408819988369942,0,1,1.39600002765656,0.127000004053116,0.0219999998807907,1.54499995708466,0.270000010728836,0.0299999993294477,0.00499999988824129,39.5999984741211,0.0212999992072582,0.0186999998986721,0.0109999999403954,0.0971999987959862,0.0399999991059303,0.148599997162819,0,4.33333301544189,4,-0.00274599995464087,14.7720003128052,0,0,0.0199999995529652,0,0.537000000476837,0.720000028610229,1,0,0,0.920000016689301,0.810999989509583,0,0.16666667163372,0,0.230000004172325,0.00135323801077902,0.0278018228709698,6.92461252212524,10.6985263824463,,-0.865835249423981,1340.77099609375,0.1807000041008
"South Africa",0.111000001430511,3,0.0890000015497208,0.0900000035762787,0,72,,,11.9978485107422,16.636999130249,9.78899955749512,1,11.7720003128052,6.40100002288818,0.0719999969005585,1221,,,0,1,3.21700000762939,0.847000002861023,0,4.06400012969971,0.889999985694885,0.150000005960464,0.0309999994933605,49.2000007629395,0.105800002813339,,0.017000000923872,0.00972000043839216,0.0399999991059303,0.00486000021919608,1,4.77777814865112,5.66666698455811,0.00384899997152388,29.1299991607666,1,0,0.330000013113022,0,0.58899998664856,0.879999995231628,0,0.0199999995529652,0,0.200000002980232,0.527999997138977,0.340000003576279,0.666666686534882,0,0.465999990701675,0.0107467314228415,0.0235436595976353,7.65302038192749,31.1018753051758,0.541299998760223,-1.04412412643433,6123.39208984375,0.117420002818108
Swaziland,0.0120000001043081,5,0.351000010967255,0,0,140,,,,,8.78999996185303,0,,5.80900001525879,,17,,,0,1,1.5,0.144999995827675,0.0179999992251396,1.66299998760223,0.579999983310699,0.0500000007450581,0,40.4000015258789,,0.0184000004082918,,0,0.0500000007450581,0,0,5.33333301544189,4.83333301544189,,26.5450000762939,1,0,0.300000011920929,0,,,0,0,0,0,,0.300000011920929,,0,0.0390000008046627,0.0233855750411749,0.029212910681963,7.09589338302612,11.8004703521729,,-0.605685889720917,177.898208618164,
Tanzania,0.0020000000949949,0,0,0,0,216,0.0148999998345971,0.165600001811981,83.9784088134766,27.6909999847412,13.3559999465942,0,17.511999130249,11.003999710083,0.0140000004321337,945,0.151848003268242,0.024100000038743,0,1,0.931999981403351,0.273999989032745,0.130999997258186,1.33700001239777,0.25,0.0199999995529652,0,40.5999984741211,0.0828000009059906,0.0264999996870756,0.0189999993890524,0,0.0500000007450581,0,1,6,6,0,2.15400004386902,1,0,0.159999996423721,0,0.633000016212463,0.930000007152557,0,0,0,0.349999994039536,0.871999979019165,0.159999996423721,0.5,0,0.0480000004172325,0.015112554654479,0.0335452780127525,5.74300336837769,7.67839574813843,,-0.596746683120728,5520.3154296875,0.175420001149178
Togo,0.0920000001788139,1,0,0,0,141,,,4.48958301544189,18.6700000762939,5.2189998626709,1,29.7889995574951,9.85000038146973,0.0500000007450581,57,,,0,1,0.165999993681908,0.0370000004768372,0.00400000018998981,0.208000004291534,0.439999997615814,0.0199999995529652,0,39.5,0.070200003683567,0.0193000007420778,0.00800000037997961,0.108000002801418,0.159999996423721,0.153999999165535,0,6.66666698455811,5.94444513320923,-0.0255670007318258,6.19399976730347,0,0,0.100000001490116,0,0.455000013113022,0.709999978542328,1,0,0,0.100000001490116,0.944000005722046,0.100000001490116,0.333333343267441,0,0.0979999974370003,0.0117575852200389,0.0279928464442492,5.88610410690308,1.22430968284607,,-0.76808625459671,702.344604492188,0.133100003004074
Tunisia,0.0790000036358833,4,0.133000001311302,0,0.986000001430511,104,0.0329999998211861,0.105899997055531,39.5922622680664,16.1879997253418,6.91800022125244,0,8.45699977874756,5.14599990844727,0.84799998998642,164,0.313508987426758,0.0618270002305508,0,0,0.293000012636185,0.125,0.0270000007003546,0.446000009775162,0.660000026226044,0.119999997317791,0.00600000005215406,48.5999984741211,0.0636999979615211,0.0368999987840652,0.0189999993890524,0,0,0,0,5.61111116409302,4.88888883590698,0.00575000001117587,36.8160018920898,0,0,0,0,0.635999977588654,0.159999996423721,1,0,0.00999999977648258,0.980000019073486,0.808000028133392,0.00999999977648258,0.5,0,0.360000014305115,0.0327709876000881,0.0223722737282515,6.98100566864014,3.11352849006653,0.298949986696243,-1.27368021011353,1181.03576660156,0.115199998021126
Uganda,0.00100000004749745,3,0.156000003218651,0,0,155,0.00480000022798777,0.0370999984443188,319.510833740234,41.9249992370605,47.1300010681152,1,34.6640014648438,56.4119987487793,0.0140000004321337,236,0.198323994874954,0.0194419994950294,0,1,1.04100000858307,0.108999997377396,0,1.14999997615814,0.490000009536743,0.0299999993294477,0.0020000000949949,43.2000007629395,0.0131999999284744,0.0189999993890524,0.00300000002607703,0.0350000001490116,0.430000007152557,0.0175000000745058,1,5.77777814865112,5.61111116409302,-0.0326239988207817,0.228000000119209,1,0,0.330000013113022,0,0.689000010490417,0.899999976158142,0,0,0,0.159999996423721,0.995999991893768,0.330000013113022,0.16666667163372,0,0.0520000010728836,-0.00936488434672356,0.034837506711483,6.51914739608765,7.49701929092407,,-0.70259165763855,3250.15844726562,0.158800005912781
Zaire,0.0469999983906746,3,0,0,0,201,0.00910000037401915,0.0568999983370304,84.9439544677734,44.4599990844727,42.9827003479004,1,34.882999420166,33.0309982299805,1.85500001907349,2345,0.137534007430077,0.0158319994807243,0,1,0.592999994754791,0.0240000002086163,0,0.617999970912933,0.600000023841858,0.0299999993294477,0.00100000004749745,42.0999984741211,0.0379000008106232,0.0270000007003546,0.0240000002086163,,0.266999989748001,,1,6.55555486679077,6.38888883590698,0.00212799990549684,0.569000005722046,0,0,0.5,0,0.384999990463257,0.899999976158142,0,0,0,0.100000001490116,0.931999981403351,0.200000002980232,0.16666667163372,0,0.157000005245209,-0.0144366156309843,0.0277844741940498,6.13122653961182,3.78909778594971,,-0.743388414382935,7279.90478515625,0.159759998321533
Zambia,0.203999996185303,1,0.0439999997615814,0,0,206,0.0372000001370907,0.280299991369247,61.9764633178711,-15.423999786377,18.0116004943848,1,199.080001831055,25.3493995666504,0.0860000029206276,753,0.157541006803513,0.0264749992638826,0,1,1.53600001335144,0.0729999989271164,0.034000001847744,1.64300000667572,0.419999986886978,0.0199999995529652,0,41.7999992370605,0.23759999871254,0.0159000009298325,0.0149999996647239,0,0.0500000007450581,0,0,5.11111116409302,5.11111116409302,0.0636909976601601,12.9420003890991,1,0,0.310000002384186,0,0.674000024795532,0.819999992847443,0,0.180000007152557,0,0.189999997615814,0.998000025749207,0.310000002384186,0.5,0,0.231000006198883,-0.0120790740475059,0.0333960615098476,6.85646200180054,11.2651672363281,,-1.01528263092041,1137.984375,0.228980004787445
